City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,current Description
168,Khatanga,RU,71.9667,102.5,58.53,44,51,9.6,broken clouds
,,,,,,,,,
169,Dunedin,NZ,-45.8742,170.5036,47.8,89,51,4.65,broken clouds
,,,,,,,,,
170,Kaitangata,NZ,-46.2817,169.8464,43.93,86,81,4.61,broken clouds
,,,,,,,,,
171,Kabanjahe,ID,3.1001,98.4908,66.96,92,73,3.24,broken clouds
,,,,,,,,,
172,Husavik,IS,66.0449,-17.3389,54.5,79,74,9.15,broken clouds
,,,,,,,,,
173,Katsuura,JP,35.1333,140.3,80.71,88,57,6.82,broken clouds
,,,,,,,,,
174,Cobija,BO,-11.0267,-68.7692,95.31,20,1,3.13,clear sky
,,,,,,,,,
175,Tautira,PF,-17.7333,-149.15,77.02,79,48,13.98,scattered clouds
,,,,,,,,,
176,Rincon,US,32.296,-81.2354,79.25,85,90,12.66,overcast clouds
,,,,,,,,,
177,Lorengau,PG,-2.0226,147.2712,79.84,82,56,6.11,broken clouds
,,,,,,,,,
178,Majene,ID,-3.5403,118.9707,77.52,89,97,13.24,overcast clouds
,,,,,,,,,
179,Awjilah,LY,29.1081,21.2869,99.95,12,0,7.49,clear sky
,,,,,,,,,
180,Katangli,RU,51.7102,143.2326,51.96,96,100,14.7,overcast clouds
,,,,,,,,,
181,Calbuco,CL,-41.768,-73.1273,51.01,91,100,17.22,moderate rain
,,,,,,,,,
182,Rorvik,NO,64.8621,11.2373,67.98,67,0,11.5,clear sky
,,,,,,,,,
183,Beira,MZ,-19.8436,34.8389,69.89,83,20,103.57,few clouds
,,,,,,,,,
184,Altagracia De Orituco,VE,9.8601,-66.3814,85.06,54,27,6.22,scattered clouds
,,,,,,,,,
185,Gao,ML,16.6362,1.637,90.82,40,99,7.27,overcast clouds
,,,,,,,,,
186,Oktyabrskoye,RU,43.0645,44.7417,73.54,78,20,4.47,few clouds
,,,,,,,,,
187,Comodoro Rivadavia,AR,-45.8667,-67.5,59.59,47,100,20.89,overcast clouds
,,,,,,,,,
188,Kavieng,PG,-2.5744,150.7967,80.94,77,92,2.82,overcast clouds
,,,,,,,,,
189,Tasiilaq,GL,65.6145,-37.6368,53.76,74,27,2.21,scattered clouds
,,,,,,,,,
190,Chokurdakh,RU,70.6333,147.9167,36.09,87,100,9.82,overcast clouds
,,,,,,,,,
191,Souillac,MU,-20.5167,57.5167,69.37,70,80,13.65,broken clouds
,,,,,,,,,
192,Kruisfontein,ZA,-34.0033,24.7314,57.88,96,99,5.84,light rain
,,,,,,,,,
193,Maragogi,BR,-9.0122,-35.2225,76.51,79,58,13.22,broken clouds
,,,,,,,,,
194,Luderitz,NA,-26.6481,15.1594,57.67,75,59,2.1,broken clouds
,,,,,,,,,
195,Iberia,US,29.9502,-91.7507,87.87,48,1,6.91,clear sky
,,,,,,,,,
196,Gamba,GA,-2.65,10,74.28,82,59,8.37,broken clouds
,,,,,,,,,
197,Richards Bay,ZA,-28.783,32.0377,64.27,84,0,6.76,clear sky
,,,,,,,,,
198,Vila Velha,BR,-20.3297,-40.2925,75.96,68,95,6.53,overcast clouds
,,,,,,,,,
199,Nandu,CN,22.8525,110.8233,76.95,99,100,4.97,moderate rain
,,,,,,,,,
200,Wanlaweyn,SO,2.6185,44.8938,75.74,76,87,18.95,overcast clouds
,,,,,,,,,
201,Faanui,PF,-16.4833,-151.75,79,71,32,10.18,scattered clouds
,,,,,,,,,
202,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,43.56,83,0,15.68,clear sky
,,,,,,,,,
203,Sobolevo,RU,54.4299,31.8996,62.26,85,94,1.74,overcast clouds
,,,,,,,,,
204,Klaksvik,FO,62.2266,-6.589,56.32,95,93,6.73,overcast clouds
,,,,,,,,,
205,Aklavik,CA,68.2191,-135.0107,65.26,41,67,2.91,broken clouds
,,,,,,,,,
206,Kyshtovka,RU,56.555,76.6271,58.21,95,18,5.86,few clouds
,,,,,,,,,
207,Cockburn Town,TC,21.4612,-71.1419,87.76,66,40,16.11,scattered clouds
,,,,,,,,,
208,Panaba,MX,21.2833,-88.2667,98.56,32,1,6.6,clear sky
,,,,,,,,,
209,Pulandian,CN,39.3953,121.9669,77.13,90,100,4.03,overcast clouds
,,,,,,,,,
210,Ukiah,US,39.1502,-123.2078,86.43,48,17,1.01,few clouds
,,,,,,,,,
211,Te Anau,NZ,-45.4167,167.7167,36.27,97,76,1.01,broken clouds
,,,,,,,,,
212,Santa Maria,BR,-29.6842,-53.8069,72.54,51,68,6.87,broken clouds
,,,,,,,,,
213,Ciudad Guayana,VE,8.3533,-62.6528,84.72,70,19,1.5,few clouds
,,,,,,,,,
214,Sain Alto,MX,23.5833,-103.25,70.57,58,80,6.24,broken clouds
,,,,,,,,,
215,Wladyslawowo,PL,54.7909,18.4009,68.94,68,88,14.83,overcast clouds
,,,,,,,,,
216,Raudeberg,NO,61.9875,5.1352,67.6,85,92,11.21,overcast clouds
,,,,,,,,,
217,Torbay,CA,47.6666,-52.7314,76.87,51,44,4,scattered clouds
,,,,,,,,,
218,Lake Charles,US,30.2131,-93.2044,88.02,48,1,8.05,clear sky
,,,,,,,,,
219,Seydi,TM,39.4816,62.9137,89.94,12,17,8.84,few clouds
,,,,,,,,,
220,Narsaq,GL,60.9167,-46.05,55.62,76,100,4.59,overcast clouds
,,,,,,,,,
221,Eyl,SO,7.9803,49.8164,77.77,78,48,27.51,scattered clouds
,,,,,,,,,
222,Tanout,NE,14.9709,8.8879,95.9,29,44,4.81,scattered clouds
,,,,,,,,,
